tick,price,type,quantity,time,commission,currency,cost,cost (sgd),days,ann cost (sgd),avg price,real p&l,
D05.SI,20.4,buy,700,11/9/20,24.61,SGD,14304.61,14304.61,802,31430.95,,,
ME8U.SI,3.11,buy,4000,11/9/20,21.29,SGD,12461.29,12461.29,802,27380.70,,,
AJBU.SI,2.92,buy,2800,25/9/20,14.2,SGD,8190.2,8190.20,788,17681.86,,,
C2PU.SI,4.16,buy,2000,25/9/20,14.25,SGD,8334.25,8334.25,788,17992.85,,,
BABA,267.779,buy,26,28/9/20,19.26,USD,6981.514,9634.87,785,20721.58,,,
AAPL,113.91,buy,62,29/9/20,19.26,USD,7081.68,9773.11,784,20992.10,,,
MSFT,208.31,buy,34,29/9/20,19.26,USD,7101.8,9800.87,784,21051.74,,,
NVDA,133.5657,buy,72,2/10/20,19.26,USD,9635.9904,13298.20,781,28454.50,,,
ARKK,97.76,buy,75,23/10/20,19.26,USD,7351.26,10145.14,760,21124.13,,,
SPY,344.91,buy,22,23/10/20,19.26,USD,7607.28,10498.46,760,21859.82,,,
ARKW,119.24,buy,33,9/11/20,19.26,USD,3954.18,5456.99,743,11108.33,,,
ARKG,71.13,buy,98,9/11/20,19.26,USD,6990,9646.58,743,19636.75,,,
BABA,263.53,buy,19,30/11/20,19.26,USD,5026.33,6936.61,722,13721.19,,,
ARKQ,70.05,buy,71,11/12/20,19.26,USD,4992.81,6890.35,711,13422.03,,,
ME8U.SI,2.78,buy,1000,20/12/20,11.89,SGD,2791.89,2791.89,702,5369.61,,,
ARKF,50.71,buy,96,22/12/20,19.26,USD,4887.42,6744.91,700,12935.44,,,
BABA,224.01,buy,23,24/12/20,19.26,USD,5171.49,7136.94,698,13648.18,,,
BABA,226.01,buy,23,24/12/20,19.26,USD,5217.49,7200.42,698,13769.58,,,
META,260.21,buy,27,29/1/21,19.26,USD,7044.93,9722.39,662,17633.49,,,
PRNT,47.51,buy,116,11/2/21,19.26,USD,5530.42,7632.28,649,13570.83,,,
TSLA,268.54,buy,21,11/2/21,19.26,USD,5658.6,7809.18,649,13885.36,,,
SOXX,439.81,buy,12,16/2/21,19.26,USD,5296.98,7310.12,644,12897.86,,,
U,116.52,buy,47,18/2/21,19.26,USD,5495.7,7584.37,642,13340.18,,,
TSLA,241.5,buy,21,22/2/21,19.26,USD,5090.76,7025.53,638,12280.24,,,
PRNT,40.38,buy,116,25/2/21,19.26,USD,4703.34,6490.87,635,11292.33,,,
AJBU.SI,2.62,buy,700,8/3/21,2.5,SGD,1836.5,1836.50,624,3139.66,,,
QQQ,314.1,buy,8,3/3/21,1,USD,2513.8,3469.18,629,5978.40,,,
ARKG,92.19,buy,30,3/3/21,1,USD,2766.7,3818.20,629,6579.85,,,
ARKQ,84.31,buy,25,4/3/21,1,USD,2108.75,2910.19,628,5007.12,,,
ARKK,125.86,buy,20,4/3/21,1,USD,2518.2,3475.25,628,5979.34,,,
U,99.01,buy,47,5/3/21,1,USD,4654.47,6423.42,627,11034.21,,,
SOXX,395.8,buy,12,5/3/21,1,USD,4750.6,6556.09,627,11262.10,,,
TSLA,214.6666667,buy,24,5/3/21,1,USD,5153,7111.42,627,12216.06,,,
CQQQ,92.66,buy,25,5/3/21,1,USD,2317.5,3198.28,627,5494.03,,,
CQQQ,83.39,buy,25,24/3/21,1.07,USD,2085.82,2878.55,608,4794.95,,,
ARKW,148.15,buy,13,20/4/21,1.07,USD,1927.02,2659.39,581,4233.17,,,
SOXX,428.1,buy,100,23/4/21,1.03,USD,42811.03,59081.58,578,93559.32,,,
ARKK,106.98,buy,12,10/5/21,1.07,USD,1284.83,1773.14,561,2725.29,,,
TSLA,187.97,buy,24,18/5/21,1.07,USD,4512.35,6227.29,553,9434.77,,,
0700,601,buy,100,7/6/21,110.7,HKD,60210.7,10636.30,533,15531.92,,,
2318,79.5,buy,500,15/6/21,72.87,HKD,39822.87,7034.77,525,10118.50,,,
AJBU.SI,2.55,buy,700,16/6/21,2.58,SGD,1787.58,1787.58,524,2566.28,,,
J69U.SI,2.41,buy,900,21/6/21,2.56,SGD,2171.56,2171.56,519,3087.78,,,
